"","HHSTFIPS","TRAVDAY","WHYTRP90","period","tot_period","tot","prop"
"277","01",6,"work",2,23672805.823,907816564.438451,2.61
"278","01",6,"Vacation",1,10490387.956,907816564.438451,1.16
"279","01",6,"Vacation",5,2964154.6292,907816564.438451,0.33
"280","01",6,"work",7,584130.32768,907816564.438451,0.06
"281","01",6,"work",8,1020385.859517,907816564.438451,0.11
"282","01",6,"School/Church",3,8439221.378,907816564.438451,0.93
"283","01",6,"School/Church",5,15865371.71157,907816564.438451,1.75
"284","01",6,"School/Church",1,35466392.22393,907816564.438451,3.91
"285","01",6,"Medical",2,2597194.66058,907816564.438451,0.29
"286","01",6,"Medical",3,7435804.812365,907816564.438451,0.82
"287","01",6,"Other Fam / Business",2,4162916.52803,907816564.438451,0.46
"288","01",6,"Other Fam / Business",3,27573120.293788,907816564.438451,3.04
"289","01",6,"Other Social/Rec",6,14021433.442225,907816564.438451,1.54
"290","01",6,"Shopping",8,1294594.36032,907816564.438451,0.14
"291","01",6,"Other Fam / Business",8,4905067.92762,907816564.438451,0.54
"292","01",6,"Visit Friends",8,36746832.76775,907816564.438451,4.05
"293","01",6,"Other Fam / Business",5,5110052.426206,907816564.438451,0.56
"294","01",6,"Other Fam / Business",6,3416703.02193,907816564.438451,0.38
"295","01",6,"Visit Friends",1,23744275.740307,907816564.438451,2.62
"296","01",6,"Visit Friends",2,1481781.87563,907816564.438451,0.16
"297","01",6,"Medical",1,2219391.999026,907816564.438451,0.24
"298","01",6,"Shopping",5,43308062.443212,907816564.438451,4.77
"299","01",6,"Visit Friends",6,938669.298167,907816564.438451,0.1
"300","01",6,"Visit Friends",7,47370979.336957,907816564.438451,5.22
"301","01",6,"Visit Friends",3,36171549.329949,907816564.438451,3.98
"302","01",6,"Other Fam / Business",4,42566182.803142,907816564.438451,4.69
"303","01",6,"work-related",3,24495935.5734,907816564.438451,2.7
"304","01",6,"work-related",4,647297.18016,907816564.438451,0.07
"305","01",6,"work-related",6,165326.01976,907816564.438451,0.02
"306","01",6,"Other",2,1987033.00526,907816564.438451,0.22
