"","HHSTFIPS","WHYTRP90","TRAVDAY","strt_hr","counts","tot","prop"
"153","01","Other Social/Rec",4,15,4484030.86746,53027270.210275,8.46
"154","01","Other Social/Rec",4,16,2134704.47761,53027270.210275,4.03
"155","01","Other Social/Rec",4,17,2267469.360014,53027270.210275,4.28
"156","01","Other Social/Rec",4,18,1942089.58142,53027270.210275,3.66
"157","01","Other Social/Rec",4,19,608363.187824,53027270.210275,1.15
"158","01","Other Social/Rec",4,20,190855.67396,53027270.210275,0.36
"159","01","Other Social/Rec",5,5,5105908.80104,81581501.019301,6.26
"160","01","Other Social/Rec",5,6,2498395.63408,81581501.019301,3.06
"161","01","Other Social/Rec",5,7,1689967.8545,81581501.019301,2.07
"162","01","Other Social/Rec",5,9,835950.86598,81581501.019301,1.02
"163","01","Other Social/Rec",5,10,3859467.81309,81581501.019301,4.73
"164","01","Other Social/Rec",5,11,7202093.240305,81581501.019301,8.83
"165","01","Other Social/Rec",5,12,4522085.776,81581501.019301,5.54
